timestamp, accelerationX, accelerationY, accelerationZ, UUID 
1495452207364,-0.8930372595787048,2.5737667083740234,13.1908540725708,,903d185fccf839df
1495452207395,-2.0626046657562256,0.8439561128616333,15.593435287475586,,903d185fccf839df
1495452207441,-3.0777463912963867,-0.628477931022644,15.415067672729492,,903d185fccf839df
1495452207464,-2.5282769203186035,-0.14365209639072418,12.11705493927002,,903d185fccf839df
1495452207485,-2.191891670227051,0.40222588181495667,9.607931137084961,,903d185fccf839df
1495452207502,-1.8806453943252563,0.6260837316513062,8.688557624816895,,903d185fccf839df
1495452207531,-0.8906430602073669,0.4692635238170624,9.26915168762207,,903d185fccf839df
1495452207564,-0.4082113802433014,0.25498247146606445,9.746794700622559,,903d185fccf839df
1495452207585,-0.23343466222286224,0.2190694510936737,8.729259490966797,,903d185fccf839df
1495452207604,-0.03711012750864029,0.31124621629714966,8.129511833190918,,903d185fccf839df
1495452207626,0.12449848651885986,0.3998316824436188,7.837419033050537,,903d185fccf839df
1495452207668,0.2082955539226532,0.6344634294509888,7.179013729095459,,903d185fccf839df
1495452207720,0.5602431893348694,1.6735470294952393,5.0014872550964355,,903d185fccf839df
1495452207752,0.2885012924671173,1.6651673316955566,5.568912982940674,,903d185fccf839df
1495452207755,0.2885012924671173,1.6651673316955566,5.568912982940674,,903d185fccf839df
1495452207787,-0.4321534037590027,1.7477672100067139,7.111976146697998,,903d185fccf839df
1495452207805,-0.8092401623725891,2.120065689086914,7.940370082855225,,903d185fccf839df
1495452207835,0.24420857429504395,2.1045033931732178,8.851364135742188,,903d185fccf839df
1495452207864,0.7158663272857666,1.5909470319747925,9.832986831665039,,903d185fccf839df
1495452207884,0.35434186458587646,1.3922282457351685,11.309011459350586,,903d185fccf839df
1495452207915,-0.17956513166427612,1.071405291557312,12.633005142211914,,903d185fccf839df
1495452207944,-0.6200982332229614,0.5291185975074768,12.828132629394531,,903d185fccf839df
1495452207955,-0.9097966551780701,0.2645592987537384,13.548787117004395,,903d185fccf839df
1495452207992,-2.8586769104003906,-1.217451572418213,16.46731948852539,,903d185fccf839df
1495452208035,-1.6639702320098877,-1.5059528350830078,14.302961349487305,,903d185fccf839df
1495452208064,2.031480073928833,-0.8583213090896606,12.205639839172363,,903d185fccf839df
1495452208088,3.551798105239868,-0.46806642413139343,11.4849853515625,,903d185fccf839df
1495452208107,3.6296098232269287,-0.10295066982507706,10.429142951965332,,903d185fccf839df
1495452208130,2.169146776199341,0.27054479718208313,9.105149269104004,,903d185fccf839df
1495452208168,0.7709329724311829,0.5482721924781799,7.362170219421387,,903d185fccf839df
1495452208186,0.363918662071228,0.8080430626869202,5.858611583709717,,903d185fccf839df
1495452208215,0.12449848651885986,1.4245500564575195,4.156333923339844,,903d185fccf839df
1495452208248,-0.03950432687997818,2.254140853881836,3.4512417316436768,,903d185fccf839df
1495452208270,-0.181959331035614,2.802412986755371,3.4093432426452637,,903d185fccf839df
1495452208375,-1.2437877655029297,2.123656988143921,10.523713111877441,,903d185fccf839df
1495452208402,-1.8602946996688843,2.2254104614257812,11.17972469329834,,903d185fccf839df
1495452208459,-1.3275848627090454,3.0561983585357666,11.634623527526855,,903d185fccf839df
1495452208497,0.8463503122329712,2.519897222518921,14.262259483337402,,903d185fccf839df
1495452208557,-1.702277421951294,-0.6607996821403503,16.484079360961914,,903d185fccf839df
1495452208615,-1.1623848676681519,1.3455413579940796,8.033743858337402,,903d185fccf839df
1495452208671,-0.5398924946784973,0.9720458984375,9.554061889648438,,903d185fccf839df
1495452208681,-0.7206547260284424,0.7781155705451965,9.926360130310059,,903d185fccf839df
1495452208715,-0.8451532125473022,0.16998831927776337,9.849745750427246,,903d185fccf839df
1495452208745,-0.5398924946784973,0.1999158412218094,9.162610054016113,,903d185fccf839df
1495452208764,-0.37828385829925537,0.5722141861915588,7.916428089141846,,903d185fccf839df
1495452208782,-0.12210428714752197,0.6643909811973572,7.067683219909668,,903d185fccf839df
1495452208815,0.41539400815963745,1.45806884765625,5.163095951080322,,903d185fccf839df
1495452208850,0.8379706144332886,2.053027868270874,4.426878929138184,,903d185fccf839df
1495452208865,0.8355764150619507,2.0697872638702393,4.558559894561768,,903d185fccf839df
1495452208894,0.40462008118629456,1.922544002532959,5.365406036376953,,903d185fccf839df
1495452208915,-0.28969839215278625,1.6651673316955566,6.767210960388184,,903d185fccf839df
1495452208945,-0.8044517636299133,2.0410568714141846,7.722497463226318,,903d185fccf839df
1495452208972,-0.31364041566848755,1.802833914756775,7.999027729034424,,903d185fccf839df
1495452208991,0.2753331959247589,1.5897499322891235,8.238448143005371,,903d185fccf839df
1495452209007,0.395043283700943,1.437718152999878,8.899248123168945,,903d185fccf839df
1495452209035,0.3866635859012604,0.9157821536064148,11.858481407165527,,903d185fccf839df
1495452209068,0.02753331884741783,0.2992752194404602,13.684060096740723,,903d185fccf839df
1495452209084,-0.12689268589019775,-0.19033902883529663,13.91629695892334,,903d185fccf839df
1495452209115,-1.159990668296814,-1.8195933103561401,15.959748268127441,,903d185fccf839df
1495452209145,-2.5270798206329346,-2.4899697303771973,17.335216522216797,,903d185fccf839df
1495452209159,-2.5749640464782715,-2.454056739807129,16.81926727294922,,903d185fccf839df
1495452209196,0.9493009448051453,-1.5119383335113525,13.583503723144531,,903d185fccf839df
1495452209246,2.874239206314087,-0.25019407272338867,10.321403503417969,,903d185fccf839df
1495452209277,1.1791443824768066,0.17477671802043915,8.704120635986328,,903d185fccf839df
1495452209322,0.0802057534456253,0.5566518902778625,6.288370609283447,,903d185fccf839df
1495452209350,-0.061052143573760986,1.0678139925003052,4.389768600463867,,903d185fccf839df
1495452209366,-0.06703764945268631,1.4173674583435059,3.7900211811065674,,903d185fccf839df
1495452209387,-0.05506663769483566,1.8579005002975464,3.5901055335998535,,903d185fccf839df
1495452209406,-0.08379705995321274,2.096123695373535,3.980360269546509,,903d185fccf839df
1495452209463,0.002394201699644327,2.451662540435791,7.3693528175354,,903d185fccf839df
1495452209505,-0.22505496442317963,2.5438392162323,8.971074104309082,,903d185fccf839df
1495452209558,-1.1743559837341309,2.3487119674682617,10.20767879486084,,903d185fccf839df
1495452209590,-1.1288660764694214,1.7322049140930176,13.141773223876953,,903d185fccf839df
1495452209634,-0.7912836670875549,1.3515268564224243,15.22592544555664,,903d185fccf839df
1495452209657,0.05506663769483566,0.706289529800415,15.381548881530762,,903d185fccf839df
1495452209695,-0.8834604024887085,-0.6033388376235962,14.856021881103516,,903d185fccf839df
1495452209735,-1.278503656387329,0.3208230137825012,9.54209041595459,,903d185fccf839df
1495452209766,-1.0271124839782715,0.6200982332229614,7.171831130981445,,903d185fccf839df
1495452209795,-0.6189011335372925,0.10773907601833344,9.273940086364746,,903d185fccf839df
1495452209864,-0.38067805767059326,-0.25498247146606445,8.401253700256348,,903d185fccf839df
1495452209875,-0.30047231912612915,-0.15083470940589905,8.079233169555664,,903d185fccf839df
1495452209914,-0.07182604819536209,0.31842881441116333,7.171831130981445,,903d185fccf839df
1495452209944,0.27054479718208313,1.0654197931289673,5.485116004943848,,903d185fccf839df
1495452209991,0.8391677141189575,1.8387469053268433,4.331110954284668,,903d185fccf839df
1495452210011,0.6787561774253845,1.7764976024627686,5.188235282897949,,903d185fccf839df
1495452210036,-0.13766659796237946,1.5502456426620483,7.292738437652588,,903d185fccf839df
